first_name,last_name,sex,date_of_birth,employment_date,organisation_name
Trumann,Reinbeck,Male,1985-01-29,2018-09-24,Hellenic Petroleum
Kienan,Briggs,Male,1975-10-15,2021-05-08,Cosmote
Ellswerth,Rhys,Male,1966-01-15,2019-07-14,Lavipharm
Morissa,Jorio,Female,1973-02-03,2020-07-29,Intracom
Rooney,Coe,Male,1975-04-01,2020-08-26,Heron S.A.
Forbes,Gutans,Male,1966-07-31,2017-12-15,Halyvourgiki Steel
Abbey,Cockram,Female,1980-12-03,2015-12-16,Viohalco
Sawyere,Welberry,Male,1964-12-01,2015-10-30,Larco
Wyndham,MacMoyer,Male,1981-10-11,2015-01-10,ALUMIL 
Ingaborg,Worsnip,Female,1975-05-11,2019-08-21,Vianex S.A.
Barbey,Mynett,Female,1969-09-24,2015-02-02,National Technical University of Athens
Deloris,Doulton,Female,1982-03-09,2016-06-10,National Kapodistrian University of Athens
Reg,Buttle,Male,1976-11-20,2013-02-02,Technical University of Crete
Daveta,Nannizzi,Female,1965-12-04,2013-01-20,University of Patras
Mead,Grimmett,Male,1979-02-19,2013-03-29,University of West Attica
Taryn,Spaight,Female,1978-04-03,2013-12-10,Democritus University of Thrace
Arte,Engley,Male,1969-09-08,2022-01-14,University of Ioannina
Albrecht,Van Dijk,Male,1980-05-28,2019-05-28,University of Thessaly
Tatiana,Hubbucke,Female,1970-07-26,2013-12-21,Aristotle University of Thessaloniki
Yoko,Benedetti,Female,1978-04-23,2015-05-06,Agricultural University of Athens
Brian,Questier,Male,1964-02-11,2021-12-29,Hellenic Centre for Marine Research
Edita,McComas,Genderqueer,1975-07-01,2017-12-01,National Observatory of Athens
Simon,Duhig,Male,1971-08-30,2019-07-02,Hellenic Institute Pasteur
Giffer,Linsay,Male,1972-12-26,2017-11-01,Centre for Research and Technology Hellas
Stu,Robke,Male,1974-01-14,2014-06-17,Biomedical Research Foundation
Alva,Mabe,Male,1971-05-17,2016-07-02,Foundation for Research and Technology Hellas
Othelia,Lipson,Female,1963-05-01,2014-08-17,Demokritos National Centre for Scientific Researc
Jo,Serginson,Male,1973-12-08,2013-06-21,Athens Information Technology
